flow,totalMs,domMs,loginProcessingMs,timestamp
loginFlow,20616,1624,14231,2025-06-03T10:09:34.950Z
courses,8808,5558,5764,20,2025-06-03T10:09:43.760Z
coursePage,7041,3926,4027,4034,2025-06-03T10:09:50.804Z
lessonPage,8648,4631,5448,5644,2025-06-03T10:09:59.455Z
placementFlow,6998,6764,6,6,4,2025-06-03T10:10:42.835Z
gradesFlow,4222,3271,843,7,2025-06-03T10:10:47.058Z
